Year,Month,Variable,E.Anchorage,H.Annette_Island,A.Barrow,C.Bethel,D.Bettles,G.Cold_Bay,H.Cordova,D.Fairbanks,E.Homer,H.Juneau,C.King_Salmon,H.Kodiak,B.Kotzebue,D.McGrath,B.Nome,D.Northway,B.St_Paul_Island,E.Talkeetna,D.Tanana,H.Yakutat
1951,May,P,NA,118.36,0.25,57.15,NA,89.92,148.84,11.18,4.06,53.85,NA,NA,3.81,18.29,10.16,24.13,20.32,7.87,0,71.63
1951,Jun,P,NA,126.24,1.27,48.01,22.61,76.45,147.07,31.5,52.83,103.12,NA,NA,6.1,69.34,15.49,43.94,45.72,64.01,3.3,180.34
1951,Jul,P,NA,68.07,40.64,67.31,43.94,26.67,88.14,44.96,18.29,67.82,NA,NA,NA,32.26,105.41,45.21,68.07,81.53,16,150.88
1951,Aug,P,NA,123.95,31.5,314.2,133.6,253.24,157.73,49.28,54.36,70.1,NA,NA,131.57,138.68,198.63,14.99,90.68,120.9,NA,103.12
1951,Sep,P,NA,143.26,13.97,88.14,104.9,87.38,634.24,18.29,76.45,97.79,NA,NA,20.07,75.95,29.72,8.89,47.24,156.46,37.59,402.34
1951,Oct,P,NA,239.78,20.07,46.48,15.24,138.68,249.17,11.68,35.56,92.71,NA,NA,20.57,15.75,19.56,0.51,92.96,29.72,18.29,196.6
1951,Nov,P,NA,217.42,11.68,38.1,23.88,71.63,330.2,17.27,28.96,119.38,NA,NA,23.37,28.45,38.86,9.65,81.03,54.61,24.89,262.13
1951,Dec,P,NA,175.26,7.87,156.72,24.13,49.78,140.97,32.51,7.11,58.42,NA,NA,18.54,47.75,54.86,7.87,71.88,59.18,41.91,146.81
1952,Jan,P,NA,257.81,4.06,164.59,5.33,44.2,74.93,21.34,NA,88.9,NA,NA,7.37,NA,20.83,18.8,96.01,59.94,32.77,149.86
1952,Feb,P,NA,186.18,1.27,57.15,11.68,84.58,118.11,3.56,19.81,72.39,NA,NA,7.11,11.43,6.35,5.08,45.72,41.15,6.35,231.39
1952,Mar,P,NA,244.86,2.29,60.2,17.53,71.12,102.87,8.89,8.64,84.33,NA,NA,6.1,24.89,14.73,4.32,33.78,39.88,19.3,155.45
1952,Apr,P,11.18,203.2,2.03,25.65,25.15,56.13,221.23,4.57,16.26,94.49,NA,NA,10.67,20.07,20.83,1.52,14.99,17.53,6.1,277.62
1952,May,P,8.64,82.8,3.81,44.7,19.3,61.47,121.92,8.38,6.86,157.23,NA,NA,8.89,17.27,32.51,11.18,29.21,51.05,5.59,291.85
1952,Jun,P,0.51,105.16,8.89,33.78,33.02,177.29,64.52,30.73,12.19,61.98,NA,NA,5.08,17.02,23.11,94.49,74.42,5.33,18.29,94.49
1952,Jul,P,69.09,73.91,36.07,91.69,40.39,78.74,451.61,45.47,42.93,94.23,NA,NA,56.64,55.12,56.39,62.23,62.48,78.49,60.2,107.7
1952,Aug,P,98.04,159.26,28.96,78.23,104.39,178.56,139.7,28.96,50.55,149.86,NA,NA,66.55,79.76,105.92,39.12,138.18,128.27,56.13,339.6
1952,Sep,P,67.56,345.95,3.05,48.26,15.49,23.11,218.19,43.94,54.86,275.34,NA,NA,8.89,50.04,39.37,21.84,26.67,71.88,26.16,304.04
1952,Oct,P,NA,226.82,4.57,36.07,36.07,158.5,676.4,11.94,116.59,337.57,NA,NA,12.95,47.24,41.91,18.8,112.27,115.32,25.15,428.75
1952,Nov,P,31.75,216.41,4.83,19.56,13.97,102.87,484.38,3.81,218.19,180.59,NA,NA,12.45,24.13,22.61,12.45,47.75,74.17,13.72,709.68
1952,Dec,P,NA,171.7,2.03,13.72,3.56,47.5,214.88,1.02,143.51,72.64,NA,NA,5.08,8.13,10.16,7.37,28.45,11.68,5.59,309.37
1953,Jan,P,NA,134.62,0.51,3.3,1.27,44.96,53.34,3.05,24.89,37.08,NA,NA,0.25,6.86,3.56,1.78,29.97,15.24,4.57,102.62
1953,Feb,P,17.27,311.66,4.83,25.15,28.45,32.26,334.77,6.86,90.68,159.51,NA,NA,4.32,24.64,8.38,1.52,9.91,99.82,19.56,249.17
1953,Mar,P,9.14,260.6,0.25,8.89,4.06,26.16,50.8,5.08,5.33,92.71,NA,NA,0,4.57,7.11,3.05,16.51,7.62,3.05,131.32
1953,Apr,P,2.03,147.07,1.52,3.3,0.51,17.02,138.68,0.25,37.85,74.93,NA,NA,1.52,6.1,9.91,2.79,16.76,9.4,2.29,158.5
1953,May,P,22.61,263.14,0.76,15.75,7.37,30.48,100.84,16.26,51.82,63.75,NA,NA,11.68,50.29,9.4,34.29,55.37,30.73,13.46,103.89
1953,Jun,P,3.05,57.66,2.54,9.4,87.63,17.53,36.58,46.99,18.8,75.69,NA,NA,33.53,28.45,77.22,101.6,11.18,48.77,37.08,96.27
1953,Jul,P,23.88,85.6,7.37,33.78,22.86,44.7,95,34.8,4.06,74.93,NA,NA,42.16,29.21,86.61,31.5,37.85,54.36,23.11,63.5
1953,Aug,P,126.75,99.06,22.86,125.48,70.61,67.06,363.98,75.44,NA,138.43,NA,NA,42.67,148.84,83.57,53.85,236.73,203.96,77.22,328.42
1953,Sep,P,68.33,302.77,7.11,40.89,50.8,122.43,345.19,33.53,61.72,156.72,NA,NA,42.16,47.24,46.23,24.13,112.01,58.93,48.51,442.72
1953,Oct,P,32.26,458.72,7.87,7.11,28.7,51.05,390.91,2.79,97.03,313.18,NA,NA,6.35,8.38,0.51,9.4,62.23,20.57,9.91,464.31
1953,Nov,P,2.79,396.24,10.67,27.69,2.03,NA,92.71,0,69.6,69.09,NA,NA,7.87,5.33,4.57,1.27,65.53,12.45,2.03,233.68
1953,Dec,P,28.19,411.99,2.03,21.08,9.14,NA,317.75,3.3,55.88,127.51,NA,NA,11.43,15.49,10.16,6.1,23.88,33.78,24.38,420.62
1954,Jan,P,14.22,188.21,11.68,6.86,11.18,15.75,139.19,13.97,28.45,51.05,NA,NA,6.86,16,18.8,4.06,11.68,58.17,11.94,194.31
1954,Feb,P,4.57,352.55,5.08,8.13,4.06,73.91,180.59,5.33,19.3,107.19,NA,NA,3.3,7.11,3.81,3.81,10.92,17.53,14.48,158.75
1954,Mar,P,24.64,148.08,3.81,51.05,20.57,71.12,98.04,15.24,49.02,37.85,NA,NA,31.24,26.42,49.53,4.57,52.07,80.01,28.45,153.16
1954,Apr,P,0.76,202.95,1.52,4.57,5.08,20.07,7.11,0,0.25,49.53,NA,NA,3.56,7.37,10.41,3.56,20.57,6.1,0.25,62.99
1954,May,P,3.81,127,3.05,0.51,10.41,89.66,63.25,4.32,10.92,75.69,NA,NA,0.76,8.64,5.59,38.61,49.28,14.22,4.06,85.85
1954,Jun,P,23.11,162.31,21.59,17.53,15.24,16.26,42.42,45.21,6.6,37.59,NA,NA,7.37,46.48,23.88,43.43,4.57,97.28,31.75,35.81
1954,Jul,P,52.83,103.38,39.37,35.56,80.77,47.5,198.63,81.79,48.26,88.9,NA,NA,42.67,120.14,107.44,30.73,67.82,147.83,59.18,164.08
1954,Aug,P,54.1,18.03,24.13,98.55,76.71,77.22,206.5,21.34,104.9,28.19,NA,NA,125.73,81.79,197.61,15.24,85.34,79.25,75.69,72.39
1954,Sep,P,42.16,134.62,13.72,132.33,76.45,NA,247.9,46.23,37.34,127.76,NA,NA,67.56,91.19,101.85,22.86,119.63,84.84,46.48,229.87
1954,Oct,P,51.31,468.12,9.14,27.18,11.18,111,477.27,2.03,117.6,160.53,NA,NA,1.02,18.54,1.02,5.33,82.3,56.9,11.94,495.3
1954,Nov,P,23.62,410.97,5.08,22.1,21.08,NA,322.83,10.67,61.98,144.02,NA,NA,9.91,46.99,27.69,4.83,35.56,48.51,13.21,315.21
1954,Dec,P,25.4,512.83,1.78,32.51,18.8,NA,133.35,12.19,34.04,137.67,NA,NA,1.78,36.32,2.54,12.95,29.46,25.65,18.54,358.39
1955,Jan,P,28.45,440.18,1.52,31.5,20.57,140.46,266.19,12.45,53.09,102.36,NA,NA,8.13,20.32,19.56,3.05,20.57,51.05,6.35,434.85
1955,Feb,P,77.98,283.72,3.05,28.45,10.92,52.07,139.95,15.24,26.42,83.82,NA,NA,4.57,24.38,6.6,7.87,30.73,59.69,15.75,338.84
1955,Mar,P,12.95,290.32,1.52,32.51,22.61,100.84,120.65,13.21,11.18,119.89,NA,NA,9.14,53.85,20.07,6.1,19.81,46.48,39.88,285.75
1955,Apr,P,33.53,266.95,1.52,28.19,8.64,26.16,90.17,4.83,27.94,62.48,NA,NA,4.06,24.13,8.13,8.64,17.27,40.13,3.3,147.83
1955,May,P,0.51,299.21,0.25,19.3,12.45,119.63,81.03,42.42,9.14,124.21,NA,NA,11.94,9.4,25.65,14.73,21.08,7.37,52.58,276.35
1955,Jun,P,29.97,212.6,29.21,42.67,45.72,58.42,109.22,89.41,70.1,56.39,NA,NA,18.29,16.26,32.26,41.4,13.21,98.55,56.64,137.92
1955,Jul,P,43.69,65.02,7.87,100.33,18.03,74.42,150.62,63.75,23.37,60.2,79.25,NA,21.08,89.66,94.23,40.39,47.5,39.12,71.12,59.94
1955,Aug,P,82.8,421.13,29.97,110.74,78.99,119.63,237.49,49.02,102.11,165.86,91.44,NA,70.36,103.63,116.33,34.29,84.84,265.18,77.47,371.35
1955,Sep,P,32.26,304.55,17.78,64.52,32.77,90.17,109.73,36.83,49.28,136.91,122.17,NA,70.1,84.33,128.78,9.91,60.71,67.56,49.02,256.79
1955,Oct,P,46.23,812.29,10.92,27.18,24.13,67.06,163.83,23.88,94.23,189.74,35.56,NA,11.18,27.94,25.65,7.11,38.35,NA,22.86,572.01
1955,Nov,P,14.99,307.85,1.78,20.57,10.16,67.06,37.08,5.33,3.05,67.31,21.59,NA,5.59,26.67,19.56,2.79,42.67,24.89,16,118.87
1955,Dec,P,67.82,111.25,9.65,9.14,36.58,26.42,273.56,46.48,65.02,72.64,21.84,NA,9.4,21.59,31.5,10.67,17.02,54.1,28.7,277.88
1956,Jan,P,13.21,139.45,7.37,25.91,6.1,15.24,99.57,10.92,26.67,71.88,19.3,NA,7.11,28.19,5.59,5.33,11.43,8.38,5.59,244.35
1956,Feb,P,63.25,258.83,1.52,52.32,13.72,92.71,118.11,25.15,21.59,102.87,25.15,NA,9.91,65.79,30.48,11.94,20.83,48.51,18.29,228.85
1956,Mar,P,7.11,243.84,5.08,19.56,10.67,64.26,101.35,3.81,17.78,119.13,40.39,NA,5.08,35.56,17.78,1.27,15.49,38.1,16.76,170.94
1956,Apr,P,12.7,349,1.78,19.56,1.52,51.56,202.95,3.05,37.85,76.2,23.37,NA,2.54,4.57,19.56,3.81,11.43,12.7,3.3,157.99
1956,May,P,11.18,277.37,0.25,18.03,13.21,45.21,244.09,15.49,29.21,122.68,34.04,NA,2.79,32.26,6.35,9.91,16,30.73,26.42,411.48
1956,Jun,P,13.21,264.16,7.37,7.62,22.1,60.71,44.7,25.91,13.21,86.87,22.35,NA,0.25,40.13,18.29,38.61,44.96,39.37,25.15,96.27
1956,Jul,P,77.98,134.11,36.32,44.7,17.78,63.75,103.38,35.81,36.83,75.18,NA,NA,21.59,36.83,57.15,60.96,111.25,113.28,NA,147.57
1956,Aug,P,40.64,451.1,26.67,70.36,80.26,98.81,240.79,56.39,NA,253.75,67.82,NA,92.71,88.65,146.81,14.99,93.22,92.96,74.17,346.2
1956,Sep,P,50.8,146.05,12.19,79.5,57.66,58.67,223.77,49.28,38.61,116.59,98.04,NA,22.86,108.46,67.82,17.78,94.49,91.95,52.83,462.53
1956,Oct,P,55.63,524.51,5.59,30.73,27.69,146.3,156.21,23.11,35.81,165.1,66.55,NA,5.59,41.91,53.09,30.48,42.16,55.37,NA,300.99
1956,Nov,P,59.18,544.83,3.3,8.13,22.1,43.94,395.48,24.89,75.95,284.99,26.92,NA,4.57,30.99,4.83,20.83,52.58,101.35,25.65,1114.55
1956,Dec,P,4.83,460.5,3.05,1.27,7.37,4.83,68.33,14.99,4.06,251.21,13.46,NA,0.51,8.89,0.76,5.08,26.16,11.18,6.1,295.4
1957,Jan,P,34.54,95.25,18.54,53.85,66.04,163.83,99.57,48.77,23.88,26.67,76.71,NA,14.48,93.22,53.34,10.92,53.09,123.7,46.48,128.78
1957,Feb,P,17.02,211.07,8.64,11.94,11.94,70.1,95.5,14.22,21.08,101.35,30.99,NA,9.14,28.19,15.49,11.94,15.24,15.75,17.27,180.09
1957,Mar,P,5.08,170.94,5.33,21.84,5.08,50.8,32,3.81,10.67,34.29,37.59,NA,4.06,18.29,15.75,7.37,43.94,15.75,5.59,84.33
1957,Apr,P,0.25,266.19,0.25,11.18,10.41,62.74,38.86,2.03,NA,92.71,16.26,NA,1.52,4.83,20.83,10.92,21.84,2.03,3.3,153.16
1957,May,P,0.51,135.89,1.02,36.32,17.53,23.62,48.51,1.78,9.4,61.98,12.7,NA,13.72,20.83,15.75,30.73,40.13,14.48,34.54,98.55
1957,Jun,P,14.22,177.04,26.67,18.54,8.13,8.89,17.53,5.33,2.29,36.58,7.87,NA,4.32,10.67,13.21,53.85,19.56,28.19,1.78,32.77
1957,Jul,P,41.66,182.37,20.32,12.45,23.37,55.37,104.65,10.16,57.4,71.88,53.09,NA,14.22,20.07,11.18,63.75,14.48,43.69,27.43,43.18
1957,Aug,P,51.31,153.67,35.31,100.33,17.27,84.58,166.88,10.16,77.22,38.1,52.07,NA,56.13,30.73,70.61,NA,33.53,78.49,44.7,205.74
1957,Sep,P,81.53,190.75,27.94,55.37,56.13,85.85,419.1,11.94,109.22,142.49,79.76,NA,42.42,55.12,35.31,NA,32.51,156.97,50.8,382.78
1957,Oct,P,23.62,249.94,28.19,27.18,14.48,115.32,304.04,18.8,92.2,100.08,57.66,NA,32.51,36.32,85.34,NA,118.62,46.74,9.4,365.51
1957,Nov,P,38.35,600.71,6.35,21.84,22.61,131.83,308.86,7.62,152.4,217.17,75.18,NA,3.56,38.86,20.32,9.4,60.71,43.94,11.43,417.07
1957,Dec,P,9.14,453.9,6.86,8.38,18.8,88.39,162.05,6.35,59.69,95.5,10.92,NA,3.3,13.46,6.1,10.92,60.2,10.16,3.56,327.91
1958,Jan,P,26.67,525.53,3.05,5.08,23.11,32.77,236.47,7.87,95,124.46,17.78,NA,3.05,9.14,22.86,5.08,54.61,21.08,6.1,281.43
1958,Feb,P,1.78,248.41,1.27,6.6,2.79,14.73,70.61,1.78,12.19,50.8,4.06,NA,0.76,4.57,16.51,4.57,14.22,1.52,3.3,89.66
1958,Mar,P,4.83,82.55,6.6,23.62,30.73,80.52,42.42,6.1,42.93,30.48,25.65,NA,6.6,16.26,30.99,4.06,15.75,48.51,6.35,52.32
1958,Apr,P,6.35,236.47,10.41,7.11,3.56,32.77,32.77,2.29,22.35,49.78,7.11,NA,13.21,8.13,NA,10.92,27.43,1.02,6.86,128.27
1958,May,P,26.67,295.66,8.13,23.62,9.91,149.35,186.69,14.48,28.45,104.9,56.9,NA,6.1,11.18,24.64,19.3,45.21,65.02,18.54,289.31
1958,Jun,P,55.63,29.21,20.07,69.6,51.31,59.69,133.1,25.65,28.45,67.31,54.1,NA,23.62,27.94,36.83,12.95,91.19,37.59,53.85,102.11
1958,Jul,P,112.78,101.09,14.99,57.91,34.29,77.98,415.54,36.07,62.99,109.47,48.26,NA,13.72,73.15,34.54,37.34,52.83,97.54,52.32,266.19
1958,Aug,P,42.42,526.29,19.56,85.85,10.41,124.97,280.67,15.49,73.41,106.68,85.85,NA,78.99,94.74,118.36,74.68,91.95,96.01,37.08,247.9
1958,Sep,P,33.27,384.3,39.62,84.33,7.87,120.65,169.67,11.68,60.2,128.52,73.15,NA,54.36,74.93,62.99,27.18,118.62,84.33,13.72,305.31
1958,Oct,P,49.02,885.7,31.5,25.15,32.77,NA,210.57,21.34,52.83,238.51,62.74,NA,18.03,20.57,61.72,26.67,103.12,82.55,33.02,436.88
1958,Nov,P,35.81,534.42,21.34,26.42,13.97,144.27,155.7,10.16,119.89,109.47,21.08,NA,NA,17.27,24.13,8.13,87.88,24.13,26.67,355.6
1958,Dec,P,13.72,445.77,6.86,4.83,6.1,106.68,117.35,10.41,26.67,189.23,3.05,NA,4.57,4.32,13.97,5.84,30.99,15.75,3.81,377.44
1959,Jan,P,6.86,309.37,1.27,5.84,2.54,38.1,38.61,2.29,20.57,35.31,4.06,NA,1.78,7.11,20.32,0.51,22.61,1.02,2.03,140.46
1959,Feb,P,24.13,252.73,20.57,53.85,53.59,88.9,96.01,23.62,45.72,105.41,11.43,NA,11.18,26.16,23.62,3.3,40.89,53.09,30.99,236.73
1959,Mar,P,21.59,598.68,0.25,10.41,2.79,19.3,83.57,3.81,15.75,115.82,2.54,NA,7.11,0.76,14.48,4.57,6.6,9.65,3.56,295.4
1959,Apr,P,33.53,281.69,7.87,21.84,10.16,59.44,180.34,3.05,88.65,86.87,22.35,NA,7.11,9.65,17.27,1.27,24.64,31.5,0.51,238.25
1959,May,P,12.45,223.77,4.32,15.49,1.02,65.02,115.82,25.91,16.26,96.27,25.15,NA,16.51,8.89,25.15,18.29,24.89,23.37,26.16,175.51
1959,Jun,P,6.6,160.78,4.83,21.59,0,51.82,20.32,30.23,3.05,34.54,6.6,NA,13.21,27.43,19.81,47.75,26.92,20.32,29.72,17.27
1959,Jul,P,112.52,275.59,36.07,34.29,NA,81.03,363.98,71.12,84.33,187.71,36.83,NA,61.98,59.94,37.34,91.95,25.91,112.27,60.71,545.85
1959,Aug,P,78.99,268.48,29.46,125.48,31.75,57.15,161.29,45.97,41.66,136.91,53.85,NA,38.1,81.28,44.2,40.64,129.54,158.24,95,195.07
1959,Sep,P,36.07,370.84,28.45,59.94,26.67,107.19,201.42,23.37,42.67,139.95,25.4,NA,16.51,47.24,69.34,23.11,85.6,67.06,43.69,235.2
1959,Oct,P,28.45,633.98,32.51,18.54,41.4,110.49,383.03,17.27,57.15,153.42,5.08,NA,13.46,13.97,11.18,5.84,58.67,53.59,12.19,376.43
1959,Nov,P,17.02,713.49,1.52,26.16,30.48,149.86,224.03,13.97,81.79,173.23,37.59,NA,6.1,15.24,26.42,16.26,69.34,35.56,8.89,568.96
1959,Dec,P,34.04,734.06,3.81,14.99,29.21,29.21,231.65,14.22,108.46,149.35,17.27,NA,8.38,21.59,4.06,4.57,16.51,22.61,12.95,411.48
1960,Jan,P,18.29,464.57,3.56,20.83,54.61,88.14,202.44,24.64,59.44,98.04,44.2,NA,14.73,53.09,44.7,3.56,43.18,35.56,34.29,277.88
1960,Feb,P,11.43,290.32,3.3,5.84,28.45,52.32,147.32,9.65,33.27,52.07,9.91,NA,11.68,10.41,23.62,19.81,28.7,47.75,17.53,228.35
1960,Mar,P,5.59,598.68,1.78,0.51,0,16.51,127.51,5.08,25.91,122.94,1.02,NA,0,0,0,2.03,2.03,6.86,0,243.08
1960,Apr,P,6.86,357.63,12.45,18.8,26.67,38.61,102.87,10.16,33.02,79.5,8.64,NA,7.87,37.08,4.32,0,7.62,7.11,5.33,147.83
1960,May,P,11.18,127.51,6.1,22.1,5.84,47.75,65.79,6.6,34.8,38.61,32,NA,14.48,42.42,27.69,13.21,28.19,16.26,8.13,69.34
1960,Jun,P,6.6,144.53,7.37,33.78,34.54,41.15,60.96,18.54,9.4,89.15,28.45,NA,18.8,43.18,9.91,43.18,10.16,24.89,50.8,98.55
1960,Jul,P,68.83,230.12,5.33,82.04,105.92,35.31,231.14,35.05,66.55,109.47,69.09,NA,58.67,104.14,45.47,91.95,55.12,136.4,80.77,474.22
1960,Aug,P,68.58,89.15,36.83,100.58,63.75,109.22,202.69,43.43,62.99,121.16,90.42,NA,42.16,88.65,45.47,66.29,66.8,115.82,65.53,275.08
1960,Sep,P,121.67,263.4,13.21,90.93,74.68,74.17,492.76,77.47,81.03,215.14,93.47,NA,72.39,122.17,70.1,26.42,52.32,192.53,75.44,600.96
1960,Oct,P,8.89,549.4,18.03,31.75,27.18,102.62,200.66,23.37,71.37,227.33,36.58,NA,38.86,17.02,32.26,25.91,95,25.91,29.21,557.53
1960,Nov,P,14.22,203.45,0.51,36.07,3.81,227.08,75.95,10.41,34.29,126.24,40.39,NA,11.18,19.05,14.99,13.21,81.53,19.05,5.84,373.38
1960,Dec,P,26.42,342.65,6.86,37.08,11.94,120.65,346.2,5.84,132.59,187.71,41.15,NA,11.94,5.59,25.91,8.64,42.67,27.18,13.72,622.81
1961,Jan,P,38.35,246.13,6.86,1.78,0,NA,192.79,6.35,91.95,95.5,21.08,NA,6.6,2.54,23.37,2.29,84.33,30.73,4.57,NA
1961,Feb,P,11.68,350.77,1.78,4.57,7.62,41.15,102.11,4.32,65.28,103.38,12.7,NA,2.03,3.3,NA,8.89,10.16,15.75,8.38,253.75
1961,Mar,P,8.64,232.66,5.59,11.18,9.65,NA,111,2.79,17.78,67.82,16,NA,3.81,0,4.57,2.03,22.61,11.43,3.3,230.38
1961,Apr,P,35.05,188.21,3.81,33.02,20.83,45.21,106.17,9.4,37.34,99.57,62.74,NA,21.08,35.31,54.61,5.84,43.94,49.28,25.65,185.17
1961,May,P,11.94,86.36,0.25,14.48,10.41,24.13,241.05,6.1,24.38,120.65,30.48,NA,8.89,6.1,9.65,30.99,25.65,34.29,23.88,250.7
1961,Jun,P,28.45,131.57,2.03,29.46,43.43,3.05,191.01,16.76,22.1,81.79,31.24,NA,21.08,42.93,71.12,73.15,30.99,NA,35.31,159.77
1961,Jul,P,56.39,73.15,45.72,97.54,48.26,27.43,155.7,66.29,76.96,153.42,77.98,NA,14.48,84.07,84.58,70.36,59.18,88.14,70.1,347.73
1961,Aug,P,49.28,190.5,33.27,68.58,111,88.9,391.92,72.39,48.01,312.67,76.71,NA,10.16,76.71,49.28,34.8,34.29,89.41,90.93,526.54
1961,Sep,P,137.92,147.83,7.87,89.41,95,49.02,343.15,48.51,134.62,178.05,185.42,NA,68.33,96.01,113.54,21.84,87.63,138.43,69.85,373.89
1961,Oct,P,71.37,579.63,11.18,52.07,46.48,47.75,216.92,29.72,53.85,259.08,73.91,NA,9.4,38.86,26.92,11.43,97.79,104.14,27.69,417.07
1961,Nov,P,16.26,392.68,4.83,25.65,14.73,104.39,252.98,11.94,92.71,155.45,52.32,NA,6.1,32.51,22.35,6.86,109.47,30.48,15.24,344.68
1961,Dec,P,24.13,376.43,2.79,27.69,20.57,68.07,123.44,14.99,49.53,102.62,41.91,NA,6.35,47.24,16,12.7,75.69,43.18,21.59,214.38
1962,Jan,P,22.35,489.2,26.42,8.13,49.53,64.26,174.75,17.53,45.72,177.55,23.88,NA,10.16,21.08,23.62,11.43,27.43,70.87,21.84,427.23
1962,Feb,P,18.8,18.54,16.76,12.45,18.8,38.86,69.09,32,9.14,24.38,26.42,NA,9.65,8.89,12.95,9.4,28.45,85.09,6.1,61.47
1962,Mar,P,14.73,154.43,6.1,11.18,20.32,53.34,146.05,16.76,35.56,127,38.1,NA,12.95,11.18,21.08,4.32,42.93,9.91,12.19,320.04
1962,Apr,P,6.35,309.63,6.6,6.86,23.37,19.3,70.1,9.65,37.59,50.55,20.32,NA,7.37,10.41,4.06,7.37,26.67,17.78,13.72,198.63
1962,May,P,38.61,59.18,10.92,42.16,5.84,60.2,131.06,15.75,36.58,72.39,43.18,NA,19.05,8.13,15.49,41.66,50.29,33.53,27.94,132.08
1962,Jun,P,86.36,194.06,4.32,18.8,1.78,3.05,186.94,56.39,62.74,120.65,42.16,NA,26.92,37.08,10.92,77.98,23.62,81.79,26.67,352.55
1962,Jul,P,18.29,75.69,31.24,28.45,8.38,86.61,100.58,110.49,25.91,120.65,62.74,NA,50.8,15.24,17.27,28.19,50.04,47.75,92.96,179.07
1962,Aug,P,48.77,208.28,37.08,89.66,32.77,50.29,123.19,102.36,13.21,132.33,64.52,NA,29.97,46.99,17.78,69.6,124.21,97.79,112.01,148.59
1962,Sep,P,36.83,216.92,24.89,58.67,33.78,97.54,316.23,35.56,55.37,247.65,36.83,NA,49.78,31.24,40.89,10.67,55.88,103.38,73.91,464.82
1962,Oct,P,39.62,384.05,13.46,21.59,44.45,105.66,314.45,7.11,81.28,187.71,42.93,NA,9.65,15.24,11.68,2.54,61.21,76.2,13.46,503.43
1962,Nov,P,12.45,388.11,0.51,4.06,10.41,65.28,192.53,4.32,54.61,102.36,18.03,NA,2.54,7.11,0.76,11.18,54.61,17.78,4.32,462.79
1962,Dec,P,26.92,400.05,1.52,16.26,14.99,25.91,137.67,14.22,37.59,207.26,19.05,NA,7.62,7.62,11.18,7.11,31.5,32.51,26.67,346.2
1963,Jan,P,53.09,207.01,13.21,59.69,25.65,124.71,206.5,45.21,52.32,166.37,39.37,NA,25.65,11.68,51.56,26.16,51.56,76.45,59.94,309.88
1963,Feb,P,34.29,419.61,6.86,2.29,2.79,10.92,214.88,6.86,38.1,153.16,12.95,NA,6.35,2.54,6.86,5.59,9.4,23.11,14.99,438.66
